Layer,Global_Mean_Recovery,Global_Std_Dev,Global_Median_Recovery,Top_3_Appearance_Frequency
0,33.45280453287674,928.7540869506408,0.17193512618541718,352
1,16.150309101626796,468.2380181015927,0.11085925996303558,315
2,-838.1331677494966,26605.57124552562,0.060762256383895874,372
3,1.2945278392427522,26.981626409907616,0.09495687484741211,84
4,0.7762390830758621,20.648949393077363,0.10147462785243988,89
5,-0.10234425091863379,24.31811724627214,0.06785926222801208,75
6,-0.11363974616722071,49.12642511266914,0.04219610616564751,125
7,-1.1868466263126622,21.809328314288845,0.07382366806268692,100
8,-0.0033089853899826156,11.013463815187212,0.042648233473300934,71
9,-0.005149861678813963,13.125301238056682,0.003598724491894245,42
10,0.601218839905544,9.169918216986858,0.00385342538356781,48
11,0.11581489947813729,4.708435657050059,0.007103960495442152,34
12,-0.5598943543389956,12.644291974834175,0.013552092015743256,32
13,0.16616674649478813,12.297161891625702,0.0,23
14,0.14613558220253306,4.387776295668247,0.00046691630268469453,25
15,-0.31955238957746335,12.028846895557047,0.0,15
16,0.22289744477604637,7.4458404196314305,0.0,17
17,-0.1170791854138903,4.965383684621925,0.0,30
18,0.1480240411662834,5.067908264030603,0.008474478498101234,28
19,-0.39715982051753884,12.133315693061995,0.006612585857510567,28
20,0.1037029744633985,3.5182929367342854,0.028171436861157417,21
21,-0.1385880325370583,4.480041920572423,0.040102533996105194,25
22,-0.5446127697666004,12.536470736712031,0.09269584715366364,71
23,-0.10797034574900818,10.119830380296634,0.06309276074171066,41
24,0.34929290523037165,9.558076209290938,0.07715660333633423,56
25,0.14478655554426603,12.399377954252085,0.05777042731642723,75
26,-0.11828615833137282,6.9490700146373445,0.037098273634910583,44
27,-0.6467430609333946,15.775611874879008,0.015009451657533646,50
28,-0.16586115420175332,13.632907875207898,0.06865745037794113,76
29,0.10025818876868746,9.358015546688572,0.0,61
30,0.5786855064352174,8.47518982805056,0.023058151826262474,73
31,-1.0116269853605693,27.457555911208278,0.05377638339996338,145
